"lnr" "Klasse" "Gesch" "Alter" "Groesse" "Gewicht" "Mathe" "Physik" "Deutsch" "Bio" "Fehltage"
569 5 "m" 13 155 50 5 NA 2 2 0
570 12 "m" 18 171 76 4 5 2 2 4
571 7 "m" 14 150 54 1 NA 1 2 1
572 11 "m" 17 168 72 2 3 1 2 5
573 12 "w" 18 179 71 2 1 2 2 5
574 10 "w" 17 165 65 3 4 2 2 3
575 7 "w" 13 149 45 2 NA 2 2 1
576 7 "m" 14 159 54 2 NA 2 1 1
577 11 "w" 17 165 66 5 4 5 4 5
578 8 "m" 14 154 54 5 5 2 3 2
579 6 "w" 12 152 41 2 NA 2 2 2
580 6 "m" 12 141 45 2 NA 4 2 2
581 11 "w" 17 152 67 2 2 4 1 3
582 11 "w" 18 188 72 5 3 5 3 2
583 10 "w" 16 159 59 4 2 2 4 2
584 10 "w" 17 156 65 4 4 5 4 3
585 11 "m" 17 169 70 2 2 2 1 5
586 6 "m" 12 154 45 5 NA 2 2 2
587 8 "w" 14 153 49 5 4 3 2 2
588 7 "m" 14 137 54 5 NA 2 3 2
589 9 "w" 15 167 54 3 5 1 1 6
590 12 "m" 18 167 75 2 2 3 2 3
591 8 "m" 15 169 60 1 2 2 2 5
592 9 "w" 16 159 60 5 6 3 1 1
593 9 "w" 15 152 56 3 4 5 4 4
594 10 "w" 17 181 66 2 1 1 2 2
595 10 "m" 16 167 66 5 6 1 1 3
596 10 "w" 17 156 64 5 4 5 3 2
597 7 "m" 14 176 56 2 NA 4 2 3
598 8 "w" 16 154 61 2 1 6 2 3
599 9 "m" 16 168 65 2 1 3 1 1
600 8 "m" 16 148 64 4 3 3 4 1
601 5 "w" 12 143 38 4 NA 3 4 2
602 9 "m" 15 161 60 4 4 3 1 3
603 9 "w" 18 174 69 2 1 2 2 7
604 9 "w" 16 140 60 4 4 2 2 2
605 9 "w" 16 165 61 4 5 4 2 4
606 11 "w" 18 182 69 5 4 5 2 3
607 6 "m" 13 144 48 2 NA 3 2 3
608 5 "w" 13 134 44 4 NA 5 3 2
609 9 "w" 15 177 55 1 1 2 2 4
610 10 "m" 17 161 70 5 3 1 1 5
611 9 "m" 15 144 60 4 4 5 3 3
612 10 "w" 16 162 60 3 3 3 2 2
613 8 "w" 14 151 50 5 5 2 3 3
614 9 "w" 15 134 56 2 3 4 1 2
615 6 "w" 13 161 44 4 NA 5 3 5
616 10 "m" 16 149 67 1 2 4 2 4
617 8 "m" 15 155 59 2 4 5 3 4
618 12 "w" 18 165 69 3 3 2 1 4
619 11 "w" 18 188 73 2 1 6 5 2
620 5 "w" 12 145 41 2 NA 4 1 4
621 10 "m" 16 179 65 2 2 3 2 2
622 7 "w" 15 146 57 1 NA 3 2 3
623 8 "m" 15 161 61 3 2 3 2 8
624 8 "m" 17 181 71 4 3 3 3 1
625 7 "w" 13 146 47 4 NA 4 4 4
626 9 "w" 16 163 57 3 3 2 1 3
627 5 "m" 12 154 46 4 NA 2 2 3
628 10 "m" 17 167 71 2 3 3 2 2
629 10 "w" 17 164 66 5 4 5 4 2
630 12 "w" 18 178 72 5 4 2 3 4
631 9 "m" 16 162 65 3 3 4 2 5
632 8 "w" 15 153 57 4 4 5 4 3
633 7 "m" 14 159 57 3 NA 4 1 3
634 8 "m" 14 157 55 3 2 4 3 4
635 6 "m" 13 146 51 2 NA 4 1 1
636 10 "m" 16 180 65 4 4 2 1 6
637 6 "w" 13 127 45 2 NA 4 4 2
638 6 "m" 13 133 50 5 NA 3 3 3
639 5 "m" 13 134 51 4 NA 5 4 6
640 7 "m" 13 147 51 5 NA 2 3 4
641 10 "w" 17 166 65 3 3 2 1 3
642 9 "m" 17 182 68 2 1 5 3 6
643 8 "w" 15 146 55 3 4 5 3 2
644 8 "w" 15 142 53 4 5 5 4 5
645 8 "w" 15 162 55 2 3 4 3 2
646 7 "w" 14 171 49 3 NA 3 2 3
647 10 "m" 16 179 66 5 5 4 3 8
648 8 "m" 14 146 56 5 3 4 3 6
649 7 "w" 13 142 44 5 NA 2 4 2
650 10 "w" 17 154 65 3 3 4 2 5
651 11 "m" 17 178 69 2 2 2 2 1
652 10 "m" 16 162 64 3 3 1 2 1
653 11 "w" 18 175 69 1 1 3 1 3
654 12 "m" 18 168 74 3 2 2 1 5
655 8 "m" 15 160 60 5 5 3 3 5
656 7 "m" 13 151 48 4 NA 2 2 0
657 9 "m" 17 171 72 3 2 3 3 5
658 10 "m" 18 167 73 2 3 2 2 5
659 6 "w" 13 148 45 5 NA 2 3 5
660 7 "w" 14 173 50 3 NA 3 3 4
661 8 "w" 15 178 55 2 3 2 1 0
662 5 "w" 13 136 44 2 NA 5 4 1
663 8 "w" 15 150 56 2 3 2 2 6
664 11 "w" 17 142 64 2 4 2 1 1
665 7 "m" 14 143 54 2 NA 2 1 4
666 11 "w" 17 165 64 3 2 2 1 0
667 10 "w" 17 161 65 2 3 3 1 3
668 7 "w" 14 135 49 2 NA 5 3 4
669 12 "m" 18 176 77 2 3 5 3 3
670 5 "m" 12 140 45 3 NA 1 2 3
671 9 "w" 16 169 60 2 2 5 4 1
672 6 "w" 12 150 40 2 NA 4 2 7
673 8 "m" 15 153 58 1 1 3 1 5
674 9 "m" 15 140 59 2 1 3 1 2
675 12 "w" 18 165 68 5 5 2 3 1
676 7 "m" 14 156 56 2 NA 3 1 5
677 10 "w" 16 171 62 1 2 4 2 5
678 9 "w" 17 173 65 2 1 2 2 4
679 7 "m" 14 154 56 2 NA 3 2 0
680 10 "w" 16 172 61 4 3 5 3 2
681 5 "w" 13 137 43 4 NA 5 4 3
682 11 "w" 17 163 63 2 1 5 3 5
683 6 "m" 13 165 50 2 NA 6 5 4
684 12 "m" 18 182 75 1 2 2 2 1
685 6 "w" 13 149 46 5 NA 5 3 2
686 10 "w" 17 163 65 2 2 5 3 3
687 7 "m" 14 159 55 2 NA 1 1 3
688 7 "w" 14 156 52 4 NA 3 2 6
689 10 "w" 16 170 61 4 4 5 3 2
690 8 "w" 16 170 60 2 2 5 1 2
691 5 "w" 13 134 45 4 NA 4 3 3
692 9 "m" 16 170 64 2 3 3 1 7
693 6 "m" 14 150 57 3 NA 3 1 2
694 6 "m" 14 160 53 4 NA 3 3 2
695 7 "w" 13 160 48 6 NA 4 4 2
696 6 "m" 14 161 57 4 NA 3 2 3
697 6 "w" 13 138 44 2 NA 4 2 0
698 6 "w" 14 155 50 3 NA 5 4 3
699 5 "m" 12 149 44 2 NA 2 1 1
700 10 "w" 17 182 66 2 1 5 4 6
701 10 "w" 16 158 60 3 2 5 4 1
702 8 "w" 15 162 54 3 3 2 2 2
703 9 "w" 17 176 65 3 1 3 3 3
704 10 "w" 17 159 65 3 2 5 3 3
705 9 "w" 17 163 64 3 3 2 2 2
706 10 "m" 17 171 71 2 3 3 2 5
707 9 "m" 16 130 63 2 2 3 1 2
708 10 "w" 17 165 65 3 3 4 2 3
709 7 "w" 13 146 44 5 NA 4 2 3
710 7 "m" 13 155 49 4 NA 5 5 3
711 8 "w" 14 137 50 1 2 3 1 2
712 7 "w" 14 162 50 4 NA 3 3 0
713 11 "m" 18 174 76 2 2 3 2 4
714 6 "w" 13 144 44 4 NA 5 5 3
715 9 "m" 16 166 65 2 2 2 1 4
716 6 "w" 13 142 45 2 NA 2 2 1
717 9 "w" 15 177 55 2 1 2 2 5
718 12 "m" 18 184 74 2 1 4 1 7
719 8 "w" 15 160 56 2 4 3 2 1
720 7 "m" 13 149 49 2 NA 5 2 5
721 5 "m" 13 127 49 4 NA 3 2 4
722 9 "w" 17 170 65 2 3 5 3 3
723 8 "m" 14 152 56 3 4 3 1 3
724 8 "w" 14 172 52 5 6 4 3 2
725 7 "m" 14 150 55 6 NA 4 3 6
726 10 "m" 16 161 64 3 2 4 2 3
727 12 "w" 18 164 70 2 1 4 2 2
728 7 "w" 14 150 49 4 NA 4 4 1
729 6 "m" 14 154 54 4 NA 3 1 0
730 7 "w" 13 144 46 4 NA 5 2 3
731 6 "m" 14 159 56 3 NA 4 2 2
732 8 "m" 14 143 56 4 4 5 5 3
733 9 "m" 16 162 66 3 4 3 3 0
734 5 "w" 12 143 41 1 NA 2 2 2
735 9 "w" 16 150 60 2 3 3 2 5
736 7 "w" 13 152 45 2 NA 1 1 3
737 7 "w" 13 143 44 4 NA 2 1 3
738 7 "m" 14 158 55 4 NA 5 3 2
739 9 "w" 16 164 60 1 1 4 2 1
740 11 "m" 17 173 72 4 6 5 5 3
741 9 "m" 15 149 61 5 6 2 4 3
742 5 "w" 12 134 39 3 NA 5 2 4
743 11 "w" 17 188 65 2 1 2 1 0
744 12 "w" 18 172 70 3 2 3 2 3
745 8 "m" 15 186 61 3 6 1 2 1
746 5 "w" 12 149 41 5 NA 4 2 4
747 7 "m" 15 170 59 5 NA 5 3 6
748 8 "m" 16 170 66 2 1 3 3 4
749 9 "m" 16 143 64 3 2 2 1 5
750 9 "m" 16 149 64 2 1 2 1 3
751 5 "w" 12 157 40 3 NA 4 2 2
752 8 "m" 14 150 56 5 3 1 3 3
753 10 "w" 16 156 60 4 4 1 2 1
754 8 "w" 15 166 55 4 6 4 3 3
755 7 "w" 14 157 51 5 NA 5 4 1
756 10 "m" 18 189 75 2 2 3 3 6
757 8 "w" 14 150 50 2 3 5 2 5
758 10 "w" 17 157 64 1 2 2 2 3
759 8 "w" 15 140 53 2 1 5 2 2
760 6 "m" 14 169 56 4 NA 1 1 3
761 11 "w" 17 178 66 2 3 4 2 1
762 8 "w" 14 146 49 6 3 4 5 6
763 9 "m" 15 163 59 5 4 3 4 4
764 5 "m" 12 155 44 5 NA 2 2 1
765 8 "m" 16 161 63 4 2 3 3 5
766 5 "m" 12 141 46 4 NA 2 2 4
767 12 "m" 18 168 74 2 1 4 2 5
768 10 "m" 17 161 70 4 4 2 2 3
769 6 "w" 12 134 38 1 NA 5 2 4
770 11 "w" 17 164 64 2 3 4 3 0
771 10 "m" 17 171 70 5 4 5 3 0
772 10 "m" 16 160 66 5 6 4 3 1
773 7 "m" 14 153 54 5 NA 4 3 8
774 8 "w" 15 169 55 2 2 5 3 3
775 5 "w" 12 129 40 5 NA 2 3 3
776 8 "w" 15 147 54 5 5 3 4 5
777 6 "m" 12 141 43 4 NA 3 2 5
778 9 "w" 16 160 60 2 2 4 2 3
779 5 "m" 15 165 61 2 NA 2 1 1
780 10 "m" 17 171 71 5 6 4 4 2
781 10 "w" 16 178 61 2 2 5 1 3
782 10 "w" 16 155 60 5 5 3 3 3
783 9 "w" 17 161 65 2 4 1 1 3
784 7 "w" 15 168 54 2 NA 3 2 3
785 9 "w" 16 145 59 5 5 1 3 3
786 6 "m" 13 158 51 6 NA 4 3 2
787 9 "m" 16 160 67 5 4 3 3 2
788 9 "w" 15 161 54 2 2 2 1 4
789 6 "w" 13 133 45 2 NA 2 2 3
790 8 "w" 14 166 50 1 2 5 1 4
791 7 "w" 14 165 50 3 NA 5 4 5
792 6 "m" 13 152 49 5 NA 2 3 3
793 9 "w" 15 149 55 1 1 5 3 4
794 9 "w" 16 170 60 3 2 5 2 6
795 11 "m" 17 174 70 6 3 5 4 1
796 7 "w" 14 151 49 4 NA 2 4 6
797 8 "m" 15 141 61 4 4 4 4 1
798 9 "w" 16 168 60 4 4 1 2 4
799 8 "w" 14 155 52 2 2 3 2 2
800 10 "m" 17 166 70 3 2 5 2 1
801 9 "m" 15 157 59 1 1 2 2 1
802 9 "m" 16 165 64 5 5 4 2 4
803 10 "m" 16 157 66 1 1 2 2 8
804 7 "w" 13 144 47 2 NA 2 2 3
805 8 "w" 14 153 50 3 1 6 4 3
806 9 "w" 17 159 64 4 4 3 3 5
807 10 "m" 17 164 70 5 4 2 3 1
808 7 "w" 15 148 57 1 NA 2 1 5
809 7 "w" 13 153 44 2 NA 3 2 0
810 8 "m" 16 164 64 4 3 3 3 4
811 7 "m" 14 141 53 4 NA 4 2 6
812 11 "w" 18 166 70 2 3 5 1 5
813 8 "w" 15 149 55 1 2 5 2 3
814 6 "m" 13 141 50 4 NA 2 2 2
815 8 "w" 16 168 59 3 4 4 1 1
816 7 "w" 14 154 50 4 NA 2 2 4
817 7 "w" 14 132 50 6 NA 3 3 6
818 6 "w" 12 153 42 2 NA 4 1 1
819 11 "m" 17 171 72 4 3 2 2 1
820 11 "w" 17 166 66 3 2 3 3 4
821 8 "w" 15 165 55 5 6 2 3 1
822 10 "w" 16 178 61 6 6 5 4 7
823 8 "w" 14 139 51 5 4 5 4 1
824 7 "w" 14 146 52 3 NA 5 2 0
825 10 "w" 17 164 67 3 2 4 3 3
826 8 "m" 15 164 57 2 2 2 3 5
827 7 "w" 14 162 51 2 NA 2 2 1
828 10 "w" 16 156 60 4 3 3 3 5
829 8 "w" 14 155 50 2 1 5 3 5
830 8 "m" 16 164 65 4 3 2 3 4
831 7 "m" 14 144 55 1 NA 2 1 4
832 9 "w" 15 150 54 2 1 3 2 3
833 9 "m" 15 169 61 5 6 5 3 2
834 7 "m" 14 153 54 2 NA 5 2 2
835 10 "m" 17 159 69 5 4 4 2 3
836 10 "w" 17 157 66 2 2 2 3 1
837 10 "m" 16 169 65 3 2 3 1 3
838 6 "w" 14 155 51 5 NA 2 2 1
839 9 "m" 15 147 60 2 3 4 1 1
840 7 "w" 14 167 49 5 NA 2 1 3
841 7 "w" 14 152 52 2 NA 4 2 3
842 5 "m" 12 147 46 4 NA 3 2 2
843 7 "w" 14 143 51 3 NA 2 1 2
844 8 "w" 15 143 55 2 2 6 1 3
845 5 "w" 12 137 40 5 NA 5 3 3
846 10 "w" 17 162 65 2 3 2 2 2
847 7 "w" 15 155 54 4 NA 4 1 1
848 10 "m" 17 194 69 2 2 4 3 0
849 8 "w" 15 161 55 2 2 2 1 6
850 10 "m" 17 166 69 2 2 4 1 1
851 11 "m" 17 164 69 4 3 3 3 4
852 7 "m" 13 155 49 4 NA 2 2 6
853 6 "w" 13 144 46 2 NA 4 1 2
854 6 "w" 15 147 56 2 NA 3 2 3
855 7 "w" 15 172 56 3 NA 3 2 2
856 5 "w" 13 143 43 5 NA 2 2 1
857 6 "m" 13 144 50 2 NA 2 2 4
858 7 "w" 13 158 45 3 NA 3 1 3
859 8 "m" 14 141 56 5 6 5 4 5
860 6 "m" 13 158 52 2 NA 1 1 3
861 9 "m" 16 161 66 3 2 5 3 1
862 10 "m" 16 156 64 4 4 3 1 4
863 12 "m" 18 173 74 1 1 4 1 2
864 6 "m" 12 150 44 3 NA 5 2 3
865 8 "m" 15 161 60 2 1 3 2 1
866 6 "w" 13 139 46 5 NA 3 3 3
867 8 "m" 15 156 61 2 2 3 1 2
868 9 "w" 17 160 66 4 3 5 3 2
869 9 "w" 17 166 65 3 3 2 2 2
870 10 "w" 17 167 65 2 2 4 3 1
871 10 "w" 16 172 59 5 5 4 3 2
872 10 "w" 16 160 60 4 5 1 2 4
873 11 "w" 18 169 71 4 4 3 3 0
874 8 "m" 15 153 60 2 2 2 2 5
875 10 "m" 16 162 66 2 3 3 1 3
876 9 "w" 16 147 61 6 6 3 3 2
877 10 "m" 17 184 70 3 4 3 3 5
878 7 "m" 13 158 51 2 NA 3 2 3
879 5 "w" 12 140 40 1 NA 5 2 6
880 8 "m" 14 172 56 2 2 4 1 5
881 8 "w" 16 148 59 1 1 3 1 4
882 9 "w" 16 159 61 6 3 5 4 2
883 9 "m" 15 150 59 2 2 5 4 3
884 6 "m" 12 153 44 2 NA 3 2 2
885 10 "m" 16 163 64 5 4 4 3 4
886 10 "w" 17 163 66 3 4 5 1 8
887 8 "m" 15 153 60 2 4 2 2 1
888 8 "m" 14 153 55 5 4 4 5 1
889 7 "m" 14 154 56 3 NA 5 4 2
890 9 "m" 16 163 66 5 5 1 1 3
891 9 "m" 16 159 66 3 4 3 1 2
892 11 "m" 17 172 69 2 3 2 2 1
893 9 "w" 16 143 62 2 3 5 5 2
894 11 "w" 17 158 65 3 2 4 2 3
895 7 "m" 13 157 50 3 NA 4 2 2
896 9 "m" 16 158 64 2 3 3 2 3
897 5 "m" 12 145 45 2 NA 3 2 4
898 8 "w" 16 177 60 4 3 3 2 0
899 11 "w" 18 165 70 3 2 4 3 3
900 6 "m" 13 142 49 2 NA 2 3 5
901 6 "m" 13 149 51 2 NA 2 1 3
902 10 "w" 16 149 57 3 3 2 2 3
903 5 "w" 12 131 40 2 NA 2 1 0
904 7 "w" 13 162 45 4 NA 3 1 6
905 7 "w" 14 145 49 2 NA 4 2 2
906 10 "m" 17 170 70 2 2 2 2 4
907 9 "w" 16 169 62 6 6 2 3 2
908 12 "m" 18 162 75 2 2 5 3 1
909 11 "w" 17 161 64 2 5 1 2 1
910 6 "m" 13 144 48 3 NA 3 1 3
911 10 "m" 17 155 69 4 4 4 4 0
912 7 "m" 14 171 53 3 NA 2 1 3
913 6 "w" 13 141 46 2 NA 2 2 2
914 6 "m" 13 164 50 2 NA 1 2 3
915 11 "w" 18 172 70 2 2 5 3 5
916 11 "m" 17 172 68 2 3 2 2 3
917 11 "w" 17 166 65 3 4 2 2 2
918 8 "w" 15 162 56 4 3 5 6 4
919 10 "w" 17 162 64 2 2 1 1 4
920 5 "w" 12 146 41 2 NA 2 2 2
921 8 "w" 15 167 57 2 1 2 1 3
922 7 "m" 15 152 62 5 NA 3 5 2
923 8 "w" 15 160 54 2 2 5 4 1
924 9 "w" 16 151 61 2 1 2 2 2
925 7 "w" 14 151 50 2 NA 6 4 0
926 10 "m" 17 171 72 3 3 3 3 3
927 11 "w" 18 170 70 4 3 2 1 2
928 8 "w" 15 158 55 1 1 4 2 1
929 5 "m" 13 149 51 3 NA 2 1 1
930 10 "m" 16 172 66 5 6 3 2 0
931 8 "m" 15 169 60 2 2 2 2 4
932 6 "m" 13 137 49 2 NA 2 2 4
933 8 "w" 14 146 50 1 2 3 1 2
934 7 "m" 14 155 54 2 NA 2 1 0
935 11 "w" 18 168 70 4 4 3 2 2
936 9 "m" 17 178 68 1 2 3 4 1
937 8 "m" 14 137 56 2 3 1 2 1
938 5 "w" 13 136 45 2 NA 3 1 3
939 9 "w" 15 141 53 2 2 5 3 2
940 11 "w" 18 170 69 5 5 5 6 3
941 9 "w" 15 153 54 2 2 2 3 2
942 7 "w" 14 150 51 4 NA 5 5 1
943 7 "w" 13 147 45 3 NA 4 5 4
944 10 "m" 16 165 65 5 5 2 3 6
945 10 "m" 16 169 66 4 3 2 2 1
946 12 "w" 18 174 71 5 4 2 2 3
947 8 "m" 14 150 55 3 3 2 2 3
948 11 "w" 17 166 65 2 3 2 2 5
949 10 "w" 17 158 66 2 3 2 2 3
950 10 "m" 17 162 71 2 1 6 1 1
951 6 "w" 12 145 40 3 NA 3 2 1
952 6 "m" 13 160 51 2 NA 5 4 2
953 7 "w" 14 152 51 2 NA 2 2 5
954 7 "w" 14 136 49 2 NA 3 2 6
955 7 "w" 13 158 45 2 NA 2 1 7
956 6 "w" 13 146 45 3 NA 2 1 3
957 9 "m" 17 159 71 5 5 5 3 6
958 6 "m" 13 159 51 5 NA 3 2 2
959 11 "m" 17 157 71 3 3 3 3 2
960 8 "w" 15 151 55 5 6 1 3 2
961 6 "w" 13 131 44 2 NA 1 2 2
962 8 "w" 15 164 54 2 2 2 1 1
963 11 "m" 18 170 74 5 5 5 6 2
964 8 "w" 15 160 55 2 3 1 1 1
965 7 "m" 13 155 50 5 NA 5 4 4
966 6 "w" 12 154 40 2 NA 2 1 3
967 9 "m" 15 169 61 2 1 2 2 3
968 11 "w" 17 167 63 3 4 2 1 1
969 10 "w" 16 155 60 2 3 3 2 2
970 5 "w" 13 145 45 5 NA 3 3 4
971 7 "w" 14 165 51 1 NA 2 2 5
972 9 "m" 15 162 60 4 4 1 2 2
973 8 "w" 14 147 49 5 3 3 4 4
974 7 "w" 14 157 50 3 NA 5 3 3
975 7 "w" 13 133 47 2 NA 2 2 7
976 9 "m" 15 163 61 2 1 5 2 3
977 11 "m" 17 179 71 3 3 1 2 0
978 8 "m" 15 152 60 5 4 2 2 9
979 6 "w" 12 136 40 4 NA 4 2 5
980 7 "w" 14 134 51 5 NA 5 5 2
981 9 "w" 16 161 60 2 2 4 1 1
982 5 "w" 12 128 40 5 NA 1 2 0
983 7 "m" 14 160 56 2 NA 1 1 2
984 12 "w" 18 165 70 4 5 4 3 3
985 6 "m" 13 145 49 4 NA 2 2 3
986 6 "m" 12 148 47 4 NA 5 3 4
987 7 "w" 15 147 55 5 NA 4 3 3
988 9 "w" 16 171 61 3 4 2 2 1
989 10 "w" 16 184 61 2 3 4 3 3
990 9 "m" 16 159 65 2 1 5 3 1
991 10 "m" 17 169 69 2 2 1 2 2
992 7 "w" 14 159 49 4 NA 3 2 2
993 9 "w" 15 156 57 2 2 1 2 7
994 7 "w" 14 157 51 5 NA 2 4 2
995 7 "m" 14 141 56 3 NA 3 3 2
996 7 "w" 14 143 50 6 NA 6 6 6
997 7 "m" 14 165 56 4 NA 3 3 3
998 9 "m" 16 175 64 4 3 3 4 0
999 11 "w" 18 180 68 4 6 2 1 2
1000 7 "m" 14 168 55 4 NA 4 2 0
1001 7 "m" 14 173 54 2 NA 3 2 2
1002 11 "w" 18 173 70 2 2 5 3 2
1003 8 "m" 15 146 60 3 2 3 1 3
